timesteps,betas,alpha_bars,snr_linear,snr_db,mse_to_x0,kl_to_unit
481,0.002974391,0.5218906,1.0915715,0.3805217,0.49745834,544.9597
482,0.0029838085,0.52033335,1.0847812,0.3534214,0.5029958,541.7208
483,0.0029931068,0.51877594,1.078034,0.32632476,0.50147915,538.4979
484,0.0030024648,0.5172183,1.0713295,0.29923055,0.5038658,535.2905
485,0.0030117035,0.5156606,1.0646678,0.27214128,0.5046892,532.099
486,0.0030210614,0.51410276,1.0580484,0.24505523,0.50736,528.9232
487,0.0030306578,0.5125447,1.0514702,0.21796954,0.50738037,525.7626
488,0.003039956,0.51098657,1.0449336,0.19088678,0.5111405,522.61755
489,0.003049612,0.50942826,1.0384378,0.16380507,0.51254,519.488
490,0.0030590296,0.5078699,1.031983,0.13672552,0.5155762,516.3736
491,0.003068447,0.50631154,1.0255688,0.10964818,0.5127612,513.27454
492,0.003078103,0.50475305,1.0191947,0.08257166,0.5197855,510.19077
493,0.003087759,0.5031945,1.0128602,0.05549497,0.5181283,507.12183
494,0.0030972958,0.50163597,1.0065653,0.028419685,0.52237284,504.0682
495,0.0031070113,0.50007737,1.0003095,0.0013437915,0.52172196,501.02936
496,0.0031166077,0.49851882,0.9940928,-0.02573062,0.5233637,498.00565
497,0.0031263828,0.49696028,0.9879146,-0.05280587,0.5280336,494.9968
498,0.0031362772,0.49540165,0.98177415,-0.07988407,0.5290172,492.00238
499,0.0031455755,0.49384335,0.9756729,-0.106957585,0.5291153,489.02332
500,0.003155768,0.4922849,0.96960855,-0.13403566,0.53139865,486.05865
501,0.0031654835,0.49072656,0.96358174,-0.1611144,0.5322764,483.10846
502,0.0031756163,0.4891682,0.9575915,-0.18819731,0.53319144,480.1728
503,0.0031852126,0.4876101,0.95163876,-0.21527879,0.5351419,477.25177
504,0.0031953454,0.486052,0.9457222,-0.24236408,0.538148,474.34515
505,0.0032048821,0.48449427,0.93984264,-0.26944855,0.5405406,471.45303
506,0.0032153726,0.48293644,0.9339982,-0.2965395,0.54261696,468.57495
507,0.003225267,0.48137885,0.9281898,-0.32363203,0.5442722,465.71124
508,0.0032352805,0.47982144,0.9224168,-0.35072792,0.5468428,462.86176
509,0.0032452345,0.47826433,0.9166794,-0.37782535,0.5488813,460.02652
510,0.003255546,0.4767073,0.91097647,-0.40492845,0.54920936,457.20514
